bump_size,delta
0.05,0.6714478249562816
0.055,-0.218371579375704
0.060000000000000005,1.1818098508471782
0.065,0.26948693791282513
0.07,1.3984146779846083
0.07500000000000001,-0.13686839239665477
0.08,0.65350852007664
0.085,0.8974775049034674
0.09,1.1485281465847388
0.095,2.095113926621276
0.1,-0.18241896616208564
0.10500000000000001,2.0537792186504906
0.11,0.7872246715987075
0.115,0.32722242892813885
0.12000000000000001,0.47629475851695224
0.125,0.4576822751027265
0.13,-0.02229691755560955
0.135,0.576954961451503
0.14,0.7059594946228082
0.14500000000000002,0.21630155575430152
0.15000000000000002,0.916082703575623
0.155,0.5617225114778214
0.16,0.30786076356801306
0.165,0.5503809425634513
0.16999999999999998,1.212697837602855
0.175,0.61228145091109
0.18,0.6762775105362174
0.185,0.987917156365802
0.19,0.5462323063329733
0.195,0.6814777919960517
0.2,0.826037714023764
0.20500000000000002,0.8095844563811998
0.21000000000000002,0.7479816128938834
0.21500000000000002,0.4300533300154772
0.22000000000000003,0.5635995818556984
0.22500000000000003,0.580959913219898
0.22999999999999998,0.44711330110701564
0.235,0.9383789039180886
0.24,0.7465544025389681
0.245,1.596464079587853
0.25,1.233057926825424
0.255,0.6873271171709731
0.26,0.9479460212021174
0.265,1.124957061817041
0.27,0.7956791865244462
0.275,0.9686454826056686
0.28,0.44972771919535853
0.28500000000000003,0.9885095469607574
0.29,0.7075175016103025
0.295,0.41951271637211857
0.3,-0.22302748085342827
0.305,0.5585484951956663
0.31,1.0633273736598685
0.315,0.839129364348756
0.32,0.46730255436048806
0.325,0.3448405990509629
0.33,0.49180709340174256
0.335,0.7804624462679998
0.33999999999999997,0.901731420293891
0.345,0.4115609578096568
0.35,1.0544039543772905
0.355,0.27982058914654545
0.36,0.5614403698467059
0.365,0.8506705223172484
0.37,0.523826106323312
0.375,0.5334431873898211
0.38,0.5366320550833461
0.385,0.8021671934442045
0.39,0.7970346989647116
0.395,0.4658671238874121
0.4,0.4671656610287789
0.40499999999999997,0.7439339089368484
0.41,0.45717638931450105
0.415,0.7931434039452341
0.42,0.84127688485271
0.425,0.6629496041864305
0.43,1.155286475540668
0.435,0.8744108558372451
0.44,0.6090453067428432
0.445,0.5862278307337604
0.45,0.6487225207261894
0.455,0.4282850262715126
0.46,0.7653146354038691
0.465,0.5806042145834716
0.47,0.583871918951108
0.475,1.0890120383625812
0.48,0.5072261699020901
0.485,0.621183821583158
0.49,0.7593109629785809
0.495,0.8464879999252988
0.5,0.9987069691459958
0.505,0.676231834162476
0.51,0.5917395905438662
0.515,0.6267634856578849
0.52,0.5604761339056151
0.525,0.6242314693623251
0.53,0.6316375592668267
0.535,0.8814623384526047
0.54,0.754869380682916
0.545,0.531960542716604
0.55,0.5416667422336051
0.555,0.7818970258558714
0.56,0.6468357473273757
0.5650000000000001,0.850002356847894
0.5700000000000001,0.6241637284506358
0.5750000000000001,0.6077420698851168
0.5800000000000001,0.674375017629253
0.5850000000000001,0.897684830158602
0.5900000000000001,0.7791357451216555
0.5950000000000001,0.5834066993835522
0.6000000000000001,0.680264093788656
0.6050000000000001,0.6325219227341652
0.6100000000000001,0.5966615175203385
0.6150000000000001,0.8109170006931248
0.6200000000000001,0.6799637127837656
0.6250000000000001,0.5329639902288391
0.63,0.5404777403426669
0.635,0.6733276457308488
0.64,0.7339423424808367
0.645,0.785837106411589
0.65,0.6704387898529763
0.655,0.6714644090565415
0.66,0.6648276510052693
0.665,0.6709156017790147
0.67,0.7361445983970454
0.675,0.7409521017843761
0.68,0.9258771906186827
0.685,0.8051792738375878
0.6900000000000001,0.7275451441644308
0.6950000000000001,0.5557627289889543
0.7000000000000001,0.5437430843084253
0.7050000000000001,0.883683451921581
0.7100000000000001,0.846048550429011
0.7150000000000001,0.786601104542981
0.7200000000000001,0.627444193441034
0.7250000000000001,0.6115248488553272
0.7300000000000001,0.6812261857239347
0.7350000000000001,0.7042885243091634
0.7400000000000001,0.5996168316410663
0.7450000000000001,0.7618058940443639
0.7500000000000001,0.5096954664415112
0.755,0.7139034533841726
0.76,0.7041952479247782
0.765,0.7663524183188862
0.77,0.7024585843562573
0.775,0.5857875490133714
0.78,0.8357796323488049
0.785,0.7233097341804868
0.79,0.6793439634671602
0.795,0.7286869117748559
0.8,0.6892667286052689
0.805,0.8012363573563958
0.81,0.6815480516820461
0.8150000000000001,0.8766021658907142
0.8200000000000001,0.6135940772667151
0.8250000000000001,0.670190054382833
0.8300000000000001,0.671212312699822
0.8350000000000001,0.6486415618734859
0.8400000000000001,0.6085693300171887
0.8450000000000001,0.6698783658914095
0.8500000000000001,0.6512601653714276
0.8550000000000001,0.6899391709676634
0.8600000000000001,0.6400578114261473
0.8650000000000001,0.7143626242978771
0.8700000000000001,0.5997370826905204
0.8750000000000001,0.5589809410955755
0.8800000000000001,0.6680311813564905
0.885,0.6172669346586727
0.89,0.6894024081826675
0.895,0.6257612723653548
0.9,0.7282203196998714
0.905,0.58445338481977
0.91,0.7186093014823762
0.915,0.7311465201525197
0.92,0.5956253788273995
0.925,0.6868380012923023
0.93,0.7375473820729512
0.935,0.6781629354779538
0.9400000000000001,0.5732064077629135
0.9450000000000001,0.700457321364114
0.9500000000000001,0.7296575830914277
0.9550000000000001,0.6089297505045702
0.9600000000000001,0.6632810483890509
0.9650000000000001,0.6471521161731462
0.9700000000000001,0.6426770258087396
0.9750000000000001,0.5864351286965056
0.9800000000000001,0.697705843697226
0.9850000000000001,0.6487475159794484
0.9900000000000001,0.6524782673581894
0.9950000000000001,0.8261826444397814
1.0,0.6573356844590776
