N,EST,SE
10000,6.305351383595097,0.28405905756627725
20000,6.268030357635657,0.23809123377741637
30000,6.292088008113688,0.21621151412593254
40000,6.290603683927838,0.2010791168703931
50000,6.357529360768892,0.19049784967057865
60000,6.3268192143268,0.18159825206690366
70000,6.305581447203685,0.1747239370096585
80000,6.346941541749095,0.16941446665668744
90000,6.328365897450909,0.16415516437954772
100000,6.33834222596611,0.16014424488338744
110000,6.37395237284205,0.15667821289793757
120000,6.334418180277847,0.15277640726215475
130000,6.356311204795756,0.15000412600559632
140000,6.293604420594885,0.14679616631965856
150000,6.3378046320054535,0.14469552880949263
160000,6.316723912707152,0.14225317526794437
170000,6.33670298461196,0.14006766582533786
180000,6.3056278518198035,0.13806304045896317
190000,6.319404107148212,0.13627727743746768
200000,6.345916786057396,0.13472395992990424
210000,6.340689923548611,0.132998251615839
220000,6.328579843808344,0.13150774367447818
230000,6.328465804909017,0.13003198044950212
240000,6.346614952377912,0.12893280551519956
250000,6.321643766708572,0.12733551931387965
260000,6.325953312136575,0.12608181448040243
270000,6.350144815658991,0.12503088515132935
280000,6.341665512072179,0.12371566797354543
290000,6.336655959197014,0.12264868478697269
300000,6.33810157481125,0.12179330090033974
310000,6.3137456125049445,0.12051005173917524
320000,6.315853193414626,0.11961711074943429
330000,6.336053612772414,0.11865818002738221
340000,6.324890674787284,0.11792116646582318
350000,6.326172774299933,0.11709901581925801
360000,6.297078258101503,0.11603732750186407
370000,6.340392911447876,0.11556274719700363
380000,6.337772488703572,0.11472103604488747
390000,6.352815957588132,0.11402081158480142
400000,6.328894303095671,0.11317508063222258
410000,6.3530549139178705,0.1126731061212958
420000,6.334064228227896,0.11183487267391991
430000,6.323272785865904,0.11110288720863881
440000,6.333627519916371,0.11050962999869067
450000,6.323875427517057,0.10994318712908675
460000,6.3562481727212115,0.10943430361825994
470000,6.310119395449882,0.10867506049880236
480000,6.319537756669273,0.1080872419929236
490000,6.320785710480827,0.10757875304046859
500000,6.31671692922443,0.10697208820492944
510000,6.3115625666522215,0.10643896824080894
520000,6.3302214482424715,0.10596130352679885
530000,6.319080818132926,0.10548148365528924
540000,6.3283353937097955,0.1049625346968799
550000,6.333351145813878,0.10448973986771999
560000,6.335938296880081,0.10415166005215311
570000,6.3259369358547115,0.10358338004878619
580000,6.331159690523556,0.10316105475438946
590000,6.3277388250816085,0.10279022210911645
600000,6.334680584592346,0.10229340140755085
610000,6.328234113833818,0.10183400029544368
620000,6.315840644131498,0.10134379755707418
630000,6.334756698248219,0.10105861546987825
640000,6.325829037748157,0.1007021983514926
650000,6.328045177917611,0.10027486481724146
660000,6.319822990022358,0.09988312116809644
670000,6.32060654688643,0.09948999804318936
680000,6.336252232191521,0.09911960412786983
690000,6.325132323717455,0.09873277811165271
700000,6.328257835135731,0.09841227421767205
710000,6.333245895530359,0.09806328337225505
720000,6.32943540733042,0.09775057808633761
730000,6.331004089688103,0.09736872346780878
740000,6.330004906585097,0.09713360047701768
750000,6.338953568241166,0.09673571217908178
760000,6.340262529784292,0.09647720670141831
770000,6.3348535198186955,0.09614716871024608
780000,6.338909026317774,0.09585293441957579
790000,6.33790365803007,0.0954827706845552
800000,6.333323191437795,0.09531648783965986
810000,6.327667451424696,0.09484178781963311
820000,6.32418782702048,0.09454948232027267
830000,6.318302367514445,0.09429242083048156
840000,6.321243990994321,0.09398753587915958
850000,6.350925694640604,0.09384806023942029
860000,6.326924310097859,0.09341906208191594
870000,6.339695698577332,0.09322861327901744
880000,6.329441157707692,0.09295057992415505
890000,6.342249903584543,0.09278677370466888
900000,6.329745136772873,0.09241292314696813
910000,6.327166355676484,0.09212321122194381
920000,6.334732888540876,0.091911882958698
930000,6.328562035440298,0.0916749988353383
940000,6.32886052398518,0.09143283856843447
950000,6.335330616921516,0.09121644455142361
960000,6.332541988365402,0.09098795025173052
970000,6.3294503550001675,0.0907120082395225
980000,6.340038051104708,0.09048200953866581
990000,6.326211206367082,0.09025416366694387
1000000,6.30490432900524,0.0899146160559668
