N,PI,PI_CV
10000,6.322322393454905,6.713101632724218
20000,6.263844664760456,6.712879812758074
30000,6.3308173327135995,6.713243378564211
40000,6.372995839849405,6.715637159118945
50000,6.362445071449329,6.713735664904998
60000,6.344682444360198,6.713633669321585
70000,6.347652414659882,6.712971866905989
80000,6.32643773984708,6.713867062624012
90000,6.31773529607453,6.714637944057724
100000,6.329647517693664,6.712514829530732
110000,6.36047727485672,6.713335840101992
120000,6.329783212647216,6.714625041063607
130000,6.305574784504456,6.7124597168280395
140000,6.30852296036367,6.71283146304076
150000,6.307946049993219,6.712944424335733
160000,6.332461807459569,6.7130311757997765
170000,6.328789160249653,6.714034478859903
180000,6.355945098503128,6.713762474157429
190000,6.334776898316049,6.714139235942727
200000,6.322265704025353,6.712949046465946
210000,6.29369140273441,6.7137284003659845
220000,6.335706876852654,6.713457264474154
230000,6.314948257396419,6.713542477794487
240000,6.354716755281397,6.713505287687403
250000,6.3181122918291726,6.713505884301762
260000,6.336294677194038,6.7129960668122175
270000,6.343866457646277,6.713958287747645
280000,6.346798938510621,6.71448514462365
290000,6.3197182576739985,6.712920634269764
300000,6.324365044915794,6.71319520116473
310000,6.360071308355087,6.713968310204151
320000,6.322380853466144,6.714290130447187
330000,6.331748158874289,6.713006839764136
340000,6.33384291712703,6.713301626026663
350000,6.33542541112721,6.713834914669114
360000,6.331532069715393,6.713285225377888
370000,6.3305870687324735,6.712978622856255
380000,6.353630990671121,6.71354273228883
390000,6.34930915694825,6.714073674845789
400000,6.3203140380154155,6.713723424847901
410000,6.333733935926385,6.71385361883275
420000,6.3476300592781,6.713549984559506
430000,6.337919116455221,6.713742634435139
440000,6.330559606182982,6.713512632118047
450000,6.305386487964692,6.713000863331367
460000,6.3278683679275565,6.714455505705972
470000,6.334993090637928,6.713843863742283
480000,6.3603621480108,6.713372569006282
490000,6.327803647833157,6.713909451303728
500000,6.316130965982693,6.713195005342412
510000,6.321001995924771,6.713563423594702
520000,6.332217476372685,6.714221866836007
530000,6.329244657729698,6.713603748079059
540000,6.330385515728045,6.713917064723397
550000,6.332397291192123,6.713836203993047
560000,6.331745562355545,6.713987526309826
570000,6.333598413078568,6.7140121869334335
580000,6.34218433207907,6.713934025340758
590000,6.327532194673682,6.7133772986273765
600000,6.331327821805113,6.714077338692281
610000,6.319263375935417,6.713996835546622
620000,6.320703219920552,6.713859091433408
630000,6.338659744279374,6.713822451744745
640000,6.297985081355189,6.7140974410191685
650000,6.331721901009188,6.713798541894704
660000,6.315169506609663,6.7137764091108165
670000,6.321423349735994,6.713517325282284
680000,6.343857186275602,6.714358551764331
690000,6.320749648318814,6.713939274064148
700000,6.310066397650258,6.7140445090190095
710000,6.336302627745806,6.713521995237115
720000,6.318884605283636,6.712970053817253
730000,6.32868344891685,6.713641266016007
740000,6.332327972601072,6.714198376028746
750000,6.3203819464640585,6.713460055818183
760000,6.337250088855452,6.714181193938747
770000,6.312224684747283,6.713455625398058
780000,6.334377930606536,6.713946569038206
790000,6.334664335569322,6.713819481560596
800000,6.341757482876064,6.713860011134016
810000,6.327553239270318,6.713548087466108
820000,6.323847609818945,6.713782747992943
830000,6.336694899658877,6.713659353342034
840000,6.333730534074032,6.71419427935807
850000,6.3281030467943316,6.713616181711852
860000,6.324523443101556,6.7139147462826
870000,6.337479758038457,6.7137742769286906
880000,6.3224543212579665,6.713606350198046
890000,6.323933329682922,6.713382796789819
900000,6.33495239484869,6.713587682138275
910000,6.32754339923545,6.71360386469437
920000,6.341980952904897,6.713647502243586
930000,6.337492962807878,6.714160227292653
940000,6.322729266713995,6.713609143150873
950000,6.321743465929139,6.713729083596038
960000,6.339994028163636,6.713774126940051
970000,6.324727066476686,6.713996576691859
980000,6.328679315209685,6.713870916694958
990000,6.3223823152633125,6.714025742692712
1000000,6.340533465078402,6.71377872241628
